status,service,categorySlug,priority,writingPriorityScore,clusterId,articleSlug,h1,primaryKeyword,primaryVolume,totalVolume,keywordCount,commercialOwner,textLengthRule,flags,approvedKeywords,publishedArticleSlug,publishedSemanticClusterId
backlog,aire-acondicionado,climatizacion,P0-safety,160.3,no-enfria:por-que-aire-acondicionado-no-enfria,porque-mi-aire-acondicionado-no-enfria,¿Porque Mi Aire Acondicionado No Enfria?,porque mi aire acondicionado no enfria,260,920,151,/aire-acondicionado/reparacion-aire-acondicionado,large-1400-2000-words,technical-safety-review,porque mi aire acondicionado no enfria | porque el aire acondicionado no enfria | por que mi aire acondicionado no enfria | por que el aire acondicionado no enfria | porque mi aire acondicionado portatil no enfria | porque un aire acondicionado no enfria | porque aire acondicionado no enfria | porque enfria poco el aire acondicionado | porque mi aire no enfria | porque mi aire portatil no enfria | porque no enfria el aire acondicionado de casa | porque no enfria el aire acondicionado de la casa | porque no enfria un aire acondicionado | aire acondicionado enfria poco causas | aire acondicionado por que no enfria | aire acondicionado porque no enfria | causas de porque no enfria el aire acondicionado | causas por la que no enfria un aire acondicionado | causas por las que el aire acondicionado no enfria | causas por las que un aire acondicionado no enfria,,
backlog,aire-acondicionado,climatizacion,P1-high,159.2,conductos:precio-aire-acondicionado-por-conductos,precio-aire-acondicionado-por-conductos,Precio Aire Acondicionado por Conductos,precio aire acondicionado por conductos,590,1520,40,/aire-acondicionado/aire-acondicionado-conductos,large-1400-2000-words,price-intent,precio aire acondicionado por conductos | precio conductos aire acondicionado | aire por conductos precio | cuanto cuesta poner aire acondicionado por conductos | precio maquina aire acondicionado por conductos | aire acondicionado por conductos zonificado precio | precio de aire acondicionado por conductos | precio de maquina de aire acondicionado por conductos | conductos de aire acondicionado precio | precio conductos de aire acondicionado | precio instalar aire acondicionado por conductos | calefaccion por conductos precio | coste aire acondicionado por conductos | instalacion de aire acondicionado por conductos precio | precio aire acondicionado por conductos con instalacion | bomba de calor por conductos precio | coste instalacion aire acondicionado por conductos | cuanto cuesta poner aire por conductos | cuanto cuesta una instalacion de aire acondicionado por conductos | precio preinstalacion aire acondicionado por conductos,,
backlog,calefaccion,calefaccion,P0-safety,159.2,radiadores-fugas-valvulas:radiador-pierde-agua,radiador-pierde-agua,Radiador Pierde Agua,radiador pierde agua,210,1290,84,/calefaccion/radiadores-calefaccion,large-1400-2000-words,hydraulic-safety-review,radiador pierde agua | radiador que gotea | radiador pierde agua por la rosca | sellar fuga radiador calefaccion | llave radiador gotea | radiador pierde agua por la llave | mi radiador pierde agua | el radiador pierde agua | radiador gotea por la llave | radiador gotea por la llave de paso | radiador pierde agua por abajo | radiador pierde agua por debajo | arreglar radiador gotea | fuga radiador casa | radiador gotea por abajo | radiador oxidado pierde agua | radiador pierde agua por arriba | radiador pierde agua por el regulador | detentor radiador gotea | fuga en radiador de calefaccion,,
backlog,fontaneria,fontaneria,P1-high,158,cisternas-inodoros:cambiar-mecanismo-cisterna,como-arreglar-cisterna,¿Como Arreglar Cisterna?,como arreglar cisterna,260,1700,82,/fontanero/reparacion-cisternas,large-1400-2000-words,brand-specific | price-intent,como arreglar cisterna | como cambiar cisterna antigua | como cambiar cisterna roca | como cambiar la cisterna | como arreglar cisterna bano | como cambiar el mecanismo de una cisterna | como arreglar cisterna roca | como cambiar la cisterna del bano | como cambiar mecanismo cisterna roca | como cambiar cisterna wc | como cambiar mecanismo cisterna | como cambiar cisterna | como cambiar descarga cisterna roca | como cambiar descargador cisterna roca | como cambiar pulsador cisterna roca doble | como arreglar una cisterna antigua alta | como cambiar descargador cisterna | como cambiar el mecanismo de una cisterna roca | como cambiar el pulsador de la cisterna | como cambiar el descargador de la cisterna,,
backlog,fontaneria,fontaneria,P1-high,156.5,bano-ducha-lavabo:instalar-plato-ducha,como-colocar-plato-de-ducha,¿Como Colocar Plato de Ducha?,como colocar plato de ducha,320,1470,62,/fontanero/cambio-banera-por-ducha,large-1400-2000-words,,como colocar plato de ducha | como poner un plato de ducha | como instalar plato de ducha | como colocar plato de ducha de resina | como montar plato de ducha | como poner un plato de ducha de resina | como instalar plato de ducha de resina | como poner plato ducha | como instalar un plato de ducha de porcelana | como instalar plato ducha | como montar plato de ducha de resina | como montar un plato de ducha de resina | como colocar desague plato ducha | como colocar el desague de la ducha | como colocar mampara en plato de ducha | como colocar plato de ducha a ras de suelo | como colocar plato de ducha acrilico | como colocar plato de ducha ceramico | como colocar plato de ducha de fibra | como colocar plato de ducha de piedra,,
backlog,calefaccion,calefaccion,P0-safety,153.5,instalacion-calefaccion-coste:cuanto-cuesta-instalar-calefaccion,precio-instalacion-calefaccion-radiadores,Precio Instalacion Calefaccion Radiadores,precio instalacion calefaccion radiadores,260,750,73,/calefaccion/instalacion-calefaccion,large-1400-2000-words,price-intent | gas-safety-review | electrical-safety-review,precio instalacion calefaccion radiadores | precio instalacion tuberias calefaccion | precio instalacion calefaccion | precio instalacion calefaccion gas | precios instalacion calefaccion gas natural | cuanto cuesta instalar calefaccion de gas | coste instalacion calefaccion gas natural | cuanto cuesta instalar calefaccion | cuanto cuesta instalar radiadores de gas natural | precio instalacion caldera gasoil y radiadores | precio instalacion gas natural con radiadores | cuanto cuesta instalar calefaccion en casa | cuanto cuesta instalar calefaccion en una casa | precio instalacion caldera de gas y radiadores | precio instalacion calefaccion gasoil | precio instalacion de calefaccion | precio instalar radiadores | coste instalacion calefaccion | coste instalacion calefaccion gas | coste instalacion calefaccion gasoil,,
backlog,calefaccion,calefaccion,P1-high,152.4,suelo-radiante:mantenimiento-suelo-radiante,limpieza-suelo-radiante,Limpieza Suelo Radiante,limpieza suelo radiante,480,1070,6,/calefaccion/suelo-radiante,large-1400-2000-words,,limpieza suelo radiante | mantenimiento suelo radiante | limpieza de suelo radiante | limpieza circuito suelo radiante | mantenimiento de suelo radiante | mantenimiento del suelo radiante,,
backlog,fontaneria,fontaneria,P1-high,152.3,inodoros:cambiar-inodoro,como-cambiar-la-tapa-del-inodoro,¿Como Cambiar la Tapa del Inodoro?,como cambiar la tapa del inodoro,140,1080,156,/fontanero/instalacion-cambio-inodoros,large-1400-2000-words,brand-specific,como cambiar la tapa del inodoro | como cambiar un inodoro | como cambiar tapa wc | como cambiar un inodoro por otro | como cambiar tapa wc roca | como cambiar un vater | como cambiar un wc | como cambiar la tapa del inodoro roca | como cambiar tapa wc roca gap | como cambiar bisagras tapa wc roca | como cambiar la tapa de un inodoro | como cambiar una tapa de wc | como cambiar la tapa del wc | como cambiar tapa wc roca dama | como cambiar un water | como cambiar el sifon del inodoro | como cambiar la bomba de agua del inodoro | como cambiar la boya del inodoro | como cambiar la descarga del inodoro | como cambiar la goma de la cisterna del water,,
backlog,fontaneria,fontaneria,P1-high,150.7,mamparas-ducha:instalar-mampara-ducha,como-montar-mampara-de-ducha,¿Como Montar Mampara de Ducha?,como montar mampara de ducha,210,1130,67,/fontanero/mamparas-ducha,large-1400-2000-words,price-intent | diy-or-commercial-review,como montar mampara de ducha | como montar una mampara de ducha | como instalar mampara de ducha | como colocar mampara de ducha | como instalar mampara | como montar mampara | como poner una mampara de ducha | como colocar mampara de banera | como montar mampara de bano | como colocar mampara | como poner mampara de ducha | como poner una mampara | como poner una mampara de banera | como instalar mampara de banera | como instalar mampara de bano | como instalar mampara de ducha fija | como instalar una mampara corredera | como instalar una mampara de banera corredera | precio colocar mampara ducha | precio instalar mampara ducha,,
backlog,electricista,electricidad,P1-high,145.7,iluminacion-led:bombilla-led-parpadea,porque-parpadean-las-luces-led,¿Porque Parpadean las Luces Led?,porque parpadean las luces led,140,770,112,/electricista/iluminacion-led,large-1400-2000-words,,porque parpadean las luces led | luz led parpadea | bombilla parpadea encendida | luz led parpadea encendida | por que parpadean las luces led | porque parpadea una luz led | porque parpadean las luces de mi casa | porque parpadea una bombilla | tira led parpadea encendida | bombilla led parpadea y se apaga | bombilla led parpadea y se funde | luz led parpadea al encender | luz led parpadea apagada | bombilla led parpadea al encender | bombilla led parpadea apagada | foco led parpadea apagado | foco led parpadea encendida | intermitente led parpadea rapido | la luz led parpadea | luz led parpadea encendida auto,,
backlog,aire-acondicionado,climatizacion,P0-safety,144.9,gas-refrigerante:como-saber-si-falta-gas-aire-acondicionado,como-saber-si-el-aire-acondicionado-le-falta-gas,¿Como Saber si el Aire Acondicionado Le Falta Gas?,como saber si el aire acondicionado le falta gas,210,470,47,/aire-acondicionado/carga-gas-aire-acondicionado,large-1400-2000-words,technical-safety-review,como saber si el aire acondicionado le falta gas | como saber si tiene gas el aire acondicionado | como saber si mi aire acondicionado le falta gas | aire acondicionado como saber si le falta gas | aire acondicionado sin gas sintomas | como saber cuando el aire acondicionado le falta gas | como saber cuando le falta gas a un aire acondicionado | como saber cuando le falta gas al aire acondicionado | como saber cuando se acaba el gas del aire acondicionado | como saber cuando un aire acondicionado le falta gas | como saber que el aire acondicionado le falta gas | como saber que le falta gas al aire acondicionado | como saber si a mi aire acondicionado le falta gas | como saber si a mi aire le falta gas | como saber si a mi split le falta gas | como saber si a tu aire acondicionado le falta gas | como saber si a un aire acondicionado le falta gas | como saber si a un aire le falta gas | como saber si a un split le falta gas | como saber si al aire acondicionado le falta gas,,
backlog,calefaccion,calefaccion,P0-safety,142.8,calefaccion-central-comunidad:contador-individual-calefaccion-central,calefaccion-central-con-contador-individual,Calefaccion Central con Contador Individual,calefaccion central con contador individual,140,590,23,/calefaccion/calefaccion-central-comunidades,large-1400-2000-words,price-intent | electrical-safety-review | gas-safety-review,calefaccion central con contador individual | contador individual calefaccion central | precio calefaccion central con contador individual | contador calefaccion central | contadores calefaccion central | termostato calefaccion central contador individual | contadores radiadores calefaccion central | calefaccion central gas contador individual | calefaccion central gasoil contador individual | contadores de calefaccion central | contadores en calefaccion central | contadores en radiadores calefaccion central | contadores individuales calefaccion central boe | contadores individuales calefaccion central ocu | contadores individuales calefaccion central precio | contadores individuales de calefaccion central | contadores individuales para calefaccion central | contadores para calefaccion central | contadores para radiadores de calefaccion central | ley contadores individuales calefaccion central,,
backlog,aire-acondicionado,climatizacion,P2-medium,141.8,bomba-calor:que-es-bomba-de-calor-aire-acondicionado,aire-acondicionado-bomba-de-calor-inverter,Aire Acondicionado Bomba de Calor Inverter,aire acondicionado bomba de calor inverter,590,930,16,/aire-acondicionado/bomba-calor,standard-900-1400-words,price-intent,aire acondicionado bomba de calor inverter | bomba de calor inverter | bomba de calor inverter precios | aire acondicionado con bomba de calor como funciona | aire acondicionado portatil con bomba de calor inverter | bomba de calor aire agua inverter | bomba de calor inverter a | bomba de calor inverter portatil | bomba de calor portatil inverter | bomba de frio calor inverter | bomba frio calor inverter | bomba frio calor inverter precios | mejor bomba de calor inverter | mejor bomba de calor inverter calidad precio | aire acondicionado con bomba de calor que es | bomba de calor inverter que es,,
backlog,aire-acondicionado,climatizacion,P2-medium,141.1,ahorro-uso:modo-dry-sleep-aire-acondicionado,modo-sleep-aire-acondicionado,Modo Sleep Aire Acondicionado,modo sleep aire acondicionado,480,860,31,/aire-acondicionado,standard-900-1400-words,,modo sleep aire acondicionado | para que sirve el modo dry en el aire acondicionado | para que sirve el modo sleep en el aire acondicionado | para que sirve el modo dry del aire acondicionado | aire acondicionado modo sleep | modo dry aire acondicionado para que sirve | aire modo sleep | modo sleep aire acondicionado calor | aire acondicionado daitsu modo sleep | daitsu modo sleep | modo sleep aire acondicionado bgh | modo sleep aire acondicionado daitsu | modo sleep aire acondicionado general electric | modo sleep aire acondicionado gree | modo sleep aire acondicionado hyundai | modo sleep aire acondicionado johnson | modo sleep aire acondicionado mabe | modo sleep aire acondicionado mirage | modo sleep aire acondicionado mundoclima | modo sleep aire acondicionado saivod,,
backlog,electricista,electricidad,P1-high,140,pequenos-trabajos-electricos:cambiar-bombillas-halogenos,como-cambiar-bombilla-led-techo,¿Como Cambiar Bombilla Led Techo?,como cambiar bombilla led techo,170,630,55,/electricista/pequenos-trabajos-electricos,large-1400-2000-words,,como cambiar bombilla halogena alargada | como cambiar bombilla led techo | como cambiar bombilla halogena techo | como cambiar halogeno | como cambiar halogenos | como cambiar un halogeno | como cambiar un halogeno de techo | como cambiar bombilla halogena | como cambiar un halogeno del techo | como cambiar bombilla alargada | como cambiar bombilla campana extractora bosch | como colocar focos en el techo | como quitar un halogeno | como cambiar bombilla aplique | como cambiar bombilla halogena lineal | como cambiar bombilla peugeot 207 | como cambiar halogeno techo | como cambiar una bombilla halogena lineal | como poner focos en el techo | como poner focos led en el techo,,
backlog,electricista,electricidad,P1-high,139.7,instalaciones-electricas:instalacion-electrica-vivienda,cuanto-cuesta-la-instalacion-electrica-de-una-casa,¿Cuanto Cuesta la Instalacion Electrica de una Casa?,cuanto cuesta la instalacion electrica de una casa,90,800,62,/electricista/instalaciones-electricas,large-1400-2000-words,price-intent | compliance-review,esquema instalacion electrica vivienda pdf | esquema instalacion electrica vivienda | como hacer instalacion electrica casa | cuanto cuesta la instalacion electrica de una casa | esquema instalacion electrica casa | como hacer instalacion electrica de una casa | precio instalacion electrica piso 70 metros | como hacer la instalacion electrica de una casa | cuanto cuesta hacer la instalacion electrica de una casa | esquema de instalacion electrica de una vivienda | cuanto puede costar la instalacion electrica de una casa | cuanto vale la instalacion electrica de una casa | esquema instalacion electrica vivienda unifamiliar | normativa instalacion electrica vivienda | precio instalacion electrica casa | como disenar instalacion electrica de una casa | como hacer instalacion de electricidad en una casa | como hacer instalacion de luz en casa | como hacer instalacion de luz en una casa | como hacer instalacion electrica de casa,,
backlog,electricista,electricidad,P2-medium,138.1,enchufes-interruptores:cambiar-interruptor,como-cambiar-el-interruptor-de-la-luz,¿Como Cambiar el Interruptor de la Luz?,como cambiar el interruptor de la luz,390,780,25,/electricista/enchufes-interruptores,standard-900-1400-words,brand-specific,como cambiar el interruptor de la luz | como cambiar interruptor | como cambiar llave de luz | como cambiar un interruptor de la luz | como desmontar un interruptor de luz | como se cambia un interruptor de luz | como cambiar interruptor de luz simon | como desmontar interruptor simon | como desmontar un interruptor simon | como cambiar el interruptor de luz | como cambiar el interruptor de una lampara | como cambiar interruptor de la luz | como cambiar interruptor de luz antiguo | como cambiar interruptor luz | como cambiar la llave de luz | como cambiar un interruptor antiguo por uno nuevo | como cambiar un interruptor conmutador | como cambiar un interruptor de luz conmutado | como cambiar un interruptor de luz triple | como cambiar un interruptor de pared,,
backlog,aire-acondicionado,climatizacion,P2-medium,137.4,conductos:limpiar-conductos-aire-acondicionado,limpiar-conductos-aire-acondicionado,Limpiar Conductos Aire Acondicionado,limpiar conductos aire acondicionado,480,710,6,/aire-acondicionado/aire-acondicionado-conductos,standard-900-1400-words,hygiene-review,limpiar conductos aire acondicionado | limpiar conductos de aire acondicionado | limpiar conductos aire acondicionado casa | limpiar conductos aire acondicionado centralizado | limpiar bandeja aire acondicionado conductos | limpiar los conductos de aire acondicionado,,
backlog,calefaccion,calefaccion,P0-safety,136.5,ahorro-uso-calefaccion:como-ahorrar-calefaccion,como-ahorrar-calefaccion,¿Como Ahorrar Calefaccion?,como ahorrar calefaccion,140,350,35,/calefaccion,large-1400-2000-words,gas-safety-review,como ahorrar calefaccion | como ahorrar con la calefaccion | como ahorrar en calefaccion de gas | como ahorrar calefaccion en invierno | como gasta menos la calefaccion | como ahorrar calefaccion electrica | como ahorrar calefaccion en casa | como ahorrar calefaccion gas | como ahorrar calefaccion gasoil | como ahorrar con calefaccion electrica | como ahorrar con la calefaccion de gas | como ahorrar con la calefaccion de gasoil | como ahorrar con la calefaccion electrica | como ahorrar en calefaccion de gas propano | como ahorrar en calefaccion de gasoil | como ahorrar en calefaccion electrica | como ahorrar en gas natural calefaccion | como ahorrar energia con la calefaccion | como ahorrar gas calefaccion radiadores | como ahorrar gas en calefaccion,,
backlog,fontaneria,fontaneria,P1-high,135.5,presion-agua:aumentar-presion-agua-casa,como-aumentar-la-presion-de-agua,¿Como Aumentar la Presion de Agua?,como aumentar la presion de agua,70,530,96,/fontanero/grupos-presion-agua,large-1400-2000-words,,como aumentar la presion de agua | como aumentar la presion de agua en la ducha | como aumentar la presion de agua en casa | como tener mas presion de agua en casa | como aumentar la presion de agua en una vivienda | como aumentar presion de agua en casa | como aumentar la presion de agua en un piso | como aumentar la presion de la ducha | como aumentar la presion del agua | como aumentar la presion del agua en casa | como aumentar la presion del agua en mi casa | como aumentar presion de agua en ducha | como dar mas presion al agua | como dar mas presion al agua de la ducha | como dar mas presion de agua en casa | como aumentar la presion de agua caliente | como aumentar la presion de agua con bomba presurizadora | como aumentar la presion de agua de la ducha | como aumentar la presion de agua de la red | como aumentar la presion de agua de un tinaco,,
backlog,fontaneria,fontaneria,P1-high,135.1,lavabos:instalar-lavabo,como-instalar-lavabo,¿Como Instalar Lavabo?,como instalar lavabo,50,400,190,/fontanero/instalacion-lavabos,large-1400-2000-words,,como instalar lavabo | como poner un grifo de lavabo | como instalar un grifo de lavabo | como montar un grifo de lavabo | como poner un lavabo | como colocar lavabo | como colocar un grifo de lavabo | como montar grifo lavabo | como montar un lavabo | como montar un mueble de bano con lavabo | como montar un sifon de lavabo | como poner grifo lavabo | como poner un sifon de lavabo | como poner una manguera en un grifo de lavabo | como colocar el lavabo del bano | como colocar griferia de lavamanos | como colocar grifo lavabo | como colocar la tuberia del lavamanos | como colocar lavabo con pedestal | como colocar lavabo de bano,,
backlog,fontaneria,fontaneria,P0-safety,134.9,termos-calentadores:termo-electrico-no-calienta,el-termo-no-calienta-el-agua,El Termo No Calienta el Agua,el termo no calienta el agua,30,560,81,/fontanero/calentadores-termos,large-1400-2000-words,brand-specific | gas-safety-review,termo electrico no calienta piloto encendido | mi termo enciende pero no calienta el agua | termo electrico no calienta | termo electrico no calienta agua | termo no calienta | mi termo electrico no calienta | calentador electrico no calienta el agua | termo electrico no calienta el agua | termo htw no calienta | calentador electrico no calienta | el termo no calienta el agua | porque no calienta el termo electrico | termo cointra no calienta | el termo electrico no calienta | el termo no calienta | mi calentador electrico no calienta el agua | mi termo de gas enciende pero no calienta el agua | mi termo no calienta | porque el termo electrico no calienta | porque mi termo no calienta,,
